a,acts,rec,game,shop,other,stops,obStop,twoStops,recStop,gameStop,shopStop,onlyRec
1.00,1.00,.00,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
2.00,2.00,.00,1.00,.00,.00,1.00,.00,.00,.00,1.00,.00,.00
3.00,3.00,.00,1.00,.00,.00,1.00,1.00,1.00,.00,1.00,.00,.00
4.00,3.00,.00,1.00,.00,.00,1.00,1.00,1.00,.00,1.00,.00,.00
5.00,2.00,.00,1.00,.00,.00,1.00,.00,.00,.00,.00,.00,.00
6.00,2.00,1.00,.00,.00,.00,1.00,1.00,.00,.00,1.00,.00,.00
7.00,3.00,1.00,.00,.00,.00,1.00,1.00,1.00,.00,1.00,.00,.00
8.00,2.00,.00,1.00,.00,.00,1.00,.00,.00,.00,.00,1.00,.00
9.00,1.00,.00,.00,.00,1.00,.00,.00,.00,.00,.00,.00,.00
10.00,2.00,.00,1.00,.00,.00,1.00,1.00,.00,.00,.00,.00,.00
11.00,3.00,.00,1.00,.00,.00,1.00,1.00,1.00,.00,.00,.00,.00
12.00,3.00,.00,1.00,.00,.00,1.00,1.00,1.00,.00,.00,1.00,.00
13.00,2.00,.00,.00,.00,1.00,1.00,.00,.00,.00,.00,.00,.00
14.00,3.00,.00,.00,.00,1.00,1.00,1.00,1.00,.00,.00,.00,.00
15.00,2.00,1.00,.00,.00,.00,1.00,1.00,.00,.00,.00,.00,.00
16.00,3.00,1.00,.00,.00,.00,1.00,1.00,1.00,.00,1.00,.00,.00
17.00,3.00,1.00,.00,.00,.00,1.00,1.00,1.00,.00,.00,.00,.00
18.00,2.00,.00,.00,1.00,.00,1.00,1.00,.00,.00,.00,.00,.00
19.00,1.00,1.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,1.00
20.00,2.00,1.00,.00,.00,.00,1.00,.00,.00,.00,1.00,.00,.00
21.00,2.00,1.00,.00,.00,.00,1.00,.00,.00,.00,.00,.00,.00
22.00,2.00,1.00,.00,.00,.00,1.00,.00,.00,1.00,.00,.00,1.00
23.00,3.00,1.00,.00,.00,.00,1.00,1.00,1.00,1.00,1.00,.00,.00
24.00,3.00,1.00,.00,.00,.00,1.00,1.00,1.00,1.00,.00,.00,.00
25.00,3.00,1.00,.00,.00,.00,1.00,1.00,1.00,1.00,.00,.00,1.00
26.00,3.00,1.00,.00,.00,.00,1.00,1.00,1.00,1.00,.00,1.00,.00
27.00,2.00,1.00,.00,.00,.00,1.00,.00,.00,.00,.00,1.00,.00
28.00,1.00,.00,.00,1.00,.00,.00,.00,.00,.00,.00,.00,.00
29.00,2.00,.00,1.00,.00,.00,1.00,1.00,.00,.00,.00,1.00,.00
30.00,3.00,.00,1.00,.00,.00,1.00,1.00,1.00,.00,.00,1.00,.00
31.00,2.00,.00,.00,1.00,.00,1.00,.00,.00,.00,.00,.00,.00
32.00,2.00,1.00,.00,.00,.00,1.00,1.00,.00,.00,.00,1.00,.00
